image_nr,image_name,file_path,cr,concept,category_label,CR,CR_pcntile,cr_rank,filename
22,abacus_08s.jpg,generate_experimental_sequences/THINGS/abacus/abacus_08s.jpg,0.756097561,abacus,home decor,0.798484733,63.28400281888654,2,abacus_2.jpg
28,abacus_14s.jpg,generate_experimental_sequences/THINGS/abacus/abacus_14s.jpg,0.756097561,abacus,home decor,0.798484733,63.28400281888654,1,abacus_1.jpg
69,air_conditioner_11s.jpg,generate_experimental_sequences/THINGS/air_conditioner/air_conditioner_11s.jpg,0.926829268,air_conditioner,electronic device,0.794466206,58.491895701198025,2,air_conditioner_2.jpg
71,air_conditioner_13s.jpg,generate_experimental_sequences/THINGS/air_conditioner/air_conditioner_13s.jpg,0.8,air_conditioner,electronic device,0.794466206,58.491895701198025,1,air_conditioner_1.jpg
332,anklet_01b.jpg,generate_experimental_sequences/THINGS/anklet/anklet_01b.jpg,0.95,anklet,NA,0.863744355,99.36575052854123,1,anklet_2.jpg
340,anklet_09s.jpg,generate_experimental_sequences/THINGS/anklet/anklet_09s.jpg,0.868421053,anklet,NA,0.863744355,99.36575052854123,2,anklet_1.jpg
434,apple_01b.jpg,generate_experimental_sequences/THINGS/apple/apple_01b.jpg,0.952380952,apple,food,0.826558595,87.03312191684284,1,apple_2.jpg
438,apple_05s.jpg,generate_experimental_sequences/THINGS/apple/apple_05s.jpg,0.769230769,apple,food,0.826558595,87.03312191684284,2,apple_1.jpg
627,awning_08s.jpg,generate_experimental_sequences/THINGS/awning/awning_08s.jpg,0.926829268,awning,NA,0.795033026,59.337561663143056,1,awning_1.jpg
632,awning_13s.jpg,generate_experimental_sequences/THINGS/awning/awning_13s.jpg,0.736842105,awning,NA,0.795033026,59.337561663143056,2,awning_2.jpg
745,bacon_04s.jpg,generate_experimental_sequences/THINGS/bacon/bacon_04s.jpg,0.906976744,bacon,food,0.838679079,93.58703312191685,2,bacon_2.jpg
755,bacon_14s.jpg,generate_experimental_sequences/THINGS/bacon/bacon_14s.jpg,0.815789474,bacon,food,0.838679079,93.58703312191685,1,bacon_1.jpg
805,bag_10s.jpg,generate_experimental_sequences/THINGS/bag/bag_10s.jpg,0.95,bag,container,0.789145696,52.572233967582804,2,bag_1.jpg
810,bag_15s.jpg,generate_experimental_sequences/THINGS/bag/bag_15s.jpg,0.769230769,bag,container,0.789145696,52.572233967582804,1,bag_2.jpg
937,bamboo_06s.jpg,generate_experimental_sequences/THINGS/bamboo/bamboo_06s.jpg,0.840909091,bamboo,plant,0.773110742,36.71599718111346,2,bamboo_1.jpg
945,bamboo_14s.jpg,generate_experimental_sequences/THINGS/bamboo/bamboo_14s.jpg,0.80952381,bamboo,plant,0.773110742,36.71599718111346,1,bamboo_2.jpg
963,banana_peel_03s.jpg,generate_experimental_sequences/THINGS/banana_peel/banana_peel_03s.jpg,0.951219512,banana_peel,NA,0.833119488,91.05003523608175,2,banana_peel_2.jpg
965,banana_peel_05s.jpg,generate_experimental_sequences/THINGS/banana_peel/banana_peel_05s.jpg,0.846153846,banana_peel,NA,0.833119488,91.05003523608175,1,banana_peel_1.jpg
1095,barcode_08s.jpg,generate_experimental_sequences/THINGS/barcode/barcode_08s.jpg,0.926829268,barcode,NA,0.817691604,81.0429880197322,2,barcode_1.jpg
1098,barcode_11s.jpg,generate_experimental_sequences/THINGS/barcode/barcode_11s.jpg,0.860465116,barcode,NA,0.817691604,81.0429880197322,1,barcode_2.jpg
