session,block,valence,trial,feedback_common,present_pavlovian,n_stimuli,early_stop,n_groups,stimulus_group,stimulus_group_id,stimulus_middle,feedback_middle,optimal_side,feedback_optimal,feedback_suboptimal,optimal_right,feedback_right,feedback_left,stimulus_right,stimulus_left,n_confusing,optimal_A,primary_outcome_A,primary_outcome_B,secondary_outcome_A,secondary_outcome_B,feedback_A,feedback_B,stimulus_A,stimulus_B,A_on_right
screening,1,0,1,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,2,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,3,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,4,false,false,2,true,1,1,1,,,,0.01,0.5,false,0.5,0.01,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,5,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,6,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,7,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,8,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,9,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,10,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,11,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,12,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,13,false,false,2,true,1,1,1,,,,0.01,0.5,false,0.5,0.01,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,14,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,15,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,16,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,17,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,18,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,19,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,20,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
screening,1,0,21,true,false,2,true,1,1,1,,,,1.0,0.01,false,0.01,1.0,puppy_1.jpg,staple_1.jpg,,,,,,,,,,,
screening,1,0,22,true,false,2,true,1,1,1,,,,1.0,0.01,true,1.0,0.01,staple_1.jpg,puppy_1.jpg,,,,,,,,,,,
