block,n_pairs,valence,n_confusing,pair,cpair,fifty_high,appearance,mini_block,order_var,trial,feedback_common,variable_magnitude,feedback_optimal,feedback_suboptimal,session,stimulus_A,stimulus_B,optimal_A,A_on_right,stimulus_right,stimulus_left,optimal_right,feedback_right,feedback_left
1,1,1,0,1,1,false,1,1,1,1,true,0.5,1.0,0.5,1,glove1.png,wineglass2.png,true,false,wineglass2.png,glove1.png,false,0.5,1.0
1,1,1,0,1,1,false,2,2,1,2,true,0.01,1.0,0.01,1,glove1.png,wineglass2.png,true,true,glove1.png,wineglass2.png,true,1.0,0.01
1,1,1,0,1,1,false,3,2,2,3,true,0.5,1.0,0.5,1,glove1.png,wineglass2.png,true,true,glove1.png,wineglass2.png,true,1.0,0.5
1,1,1,0,1,1,false,4,3,1,4,true,0.5,1.0,0.5,1,glove1.png,wineglass2.png,true,true,glove1.png,wineglass2.png,true,1.0,0.5
1,1,1,0,1,1,false,5,3,2,5,true,0.01,1.0,0.01,1,glove1.png,wineglass2.png,true,false,wineglass2.png,glove1.png,false,0.01,1.0
1,1,1,0,1,1,false,6,4,1,6,true,0.01,1.0,0.01,1,glove1.png,wineglass2.png,true,false,wineglass2.png,glove1.png,false,0.01,1.0
1,1,1,0,1,1,false,7,4,2,7,true,0.01,1.0,0.01,1,glove1.png,wineglass2.png,true,false,wineglass2.png,glove1.png,false,0.01,1.0
2,3,-1,0,3,4,false,1,1,1,1,true,0.01,-0.01,-1,1,hairbrush1.png,ceilingfan2.png,true,false,ceilingfan2.png,hairbrush1.png,false,-1,-0.01
2,3,-1,0,1,2,true,1,1,2,2,true,0.5,-0.01,-0.5,1,desk1.png,glove2.png,true,false,glove2.png,desk1.png,false,-0.5,-0.01
2,3,-1,0,2,3,true,1,1,3,3,true,1.0,-0.01,-1.0,1,toyrabbit1.png,headphones2.png,false,false,headphones2.png,toyrabbit1.png,true,-0.01,-1.0
2,3,-1,0,3,4,false,2,2,1,4,true,0.5,-0.5,-1,1,hairbrush1.png,ceilingfan2.png,true,true,hairbrush1.png,ceilingfan2.png,true,-0.5,-1
2,3,-1,0,2,3,true,2,2,2,5,true,0.5,-0.01,-0.5,1,toyrabbit1.png,headphones2.png,false,true,toyrabbit1.png,headphones2.png,false,-0.5,-0.01
2,3,-1,0,3,4,false,3,2,3,6,true,0.01,-0.01,-1,1,hairbrush1.png,ceilingfan2.png,true,true,hairbrush1.png,ceilingfan2.png,true,-0.01,-1
2,3,-1,0,2,3,true,3,2,4,7,true,1.0,-0.01,-1.0,1,toyrabbit1.png,headphones2.png,false,true,toyrabbit1.png,headphones2.png,false,-1.0,-0.01
2,3,-1,0,1,2,true,2,2,5,8,true,1.0,-0.01,-1.0,1,desk1.png,glove2.png,true,true,desk1.png,glove2.png,true,-0.01,-1.0
2,3,-1,0,1,2,true,3,2,6,9,true,1.0,-0.01,-1.0,1,desk1.png,glove2.png,true,true,desk1.png,glove2.png,true,-0.01,-1.0
2,3,-1,0,3,4,false,4,3,1,10,true,0.5,-0.5,-1,1,hairbrush1.png,ceilingfan2.png,true,true,hairbrush1.png,ceilingfan2.png,true,-0.5,-1
2,3,-1,0,1,2,true,4,3,2,11,true,0.5,-0.01,-0.5,1,desk1.png,glove2.png,true,true,desk1.png,glove2.png,true,-0.01,-0.5
2,3,-1,0,2,3,true,4,3,3,12,true,1.0,-0.01,-1.0,1,toyrabbit1.png,headphones2.png,false,true,toyrabbit1.png,headphones2.png,false,-1.0,-0.01
2,3,-1,0,3,4,false,5,3,4,13,true,0.01,-0.01,-1,1,hairbrush1.png,ceilingfan2.png,true,false,ceilingfan2.png,hairbrush1.png,false,-1,-0.01
2,3,-1,0,1,2,true,5,3,5,14,true,0.5,-0.01,-0.5,1,desk1.png,glove2.png,true,false,glove2.png,desk1.png,false,-0.5,-0.01
2,3,-1,0,2,3,true,5,3,6,15,true,0.5,-0.01,-0.5,1,toyrabbit1.png,headphones2.png,false,false,headphones2.png,toyrabbit1.png,true,-0.01,-0.5
2,3,-1,0,3,4,false,6,4,1,16,true,0.01,-0.01,-1,1,hairbrush1.png,ceilingfan2.png,true,false,ceilingfan2.png,hairbrush1.png,false,-1,-0.01
2,3,-1,0,3,4,false,7,4,2,17,true,0.5,-0.5,-1,1,hairbrush1.png,ceilingfan2.png,true,false,ceilingfan2.png,hairbrush1.png,false,-1,-0.5
2,3,-1,0,1,2,true,6,4,3,18,true,1.0,-0.01,-1.0,1,desk1.png,glove2.png,true,false,glove2.png,desk1.png,false,-1.0,-0.01
2,3,-1,0,2,3,true,6,4,4,19,true,0.5,-0.01,-0.5,1,toyrabbit1.png,headphones2.png,false,false,headphones2.png,toyrabbit1.png,true,-0.01,-0.5
2,3,-1,0,2,3,true,7,4,5,20,true,0.5,-0.01,-0.5,1,toyrabbit1.png,headphones2.png,false,false,headphones2.png,toyrabbit1.png,true,-0.01,-0.5
2,3,-1,0,1,2,true,7,4,6,21,true,1.0,-0.01,-1.0,1,desk1.png,glove2.png,true,false,glove2.png,desk1.png,false,-1.0,-0.01
3,5,1,0,3,7,false,1,1,1,1,true,0.5,1.0,0.5,1,socks1.png,hairbrush2.png,true,false,hairbrush2.png,socks1.png,false,0.5,1.0
3,5,1,0,2,6,true,1,1,2,2,true,1.0,1.0,0.01,1,camera1.png,toyrabbit2.png,true,false,toyrabbit2.png,camera1.png,false,0.01,1.0
3,5,1,0,1,5,true,1,1,3,3,true,0.5,0.5,0.01,1,windchime1.png,desk2.png,false,false,desk2.png,windchime1.png,true,0.5,0.01
3,5,1,0,5,9,true,1,1,4,4,true,0.5,0.5,0.01,1,airplane1.png,bell2.png,false,false,bell2.png,airplane1.png,true,0.5,0.01
3,5,1,0,4,8,true,1,1,5,5,true,0.5,0.5,0.01,1,tongs1.png,cookpot2.png,false,false,cookpot2.png,tongs1.png,true,0.5,0.01
3,5,1,0,3,7,false,2,2,1,6,true,0.5,1.0,0.5,1,socks1.png,hairbrush2.png,true,true,socks1.png,hairbrush2.png,true,1.0,0.5
3,5,1,0,4,8,true,2,2,2,7,true,1.0,1.0,0.01,1,tongs1.png,cookpot2.png,false,true,tongs1.png,cookpot2.png,false,0.01,1.0
3,5,1,0,3,7,false,3,2,3,8,true,0.5,1.0,0.5,1,socks1.png,hairbrush2.png,true,true,socks1.png,hairbrush2.png,true,1.0,0.5
3,5,1,0,5,9,true,2,2,4,9,true,1.0,1.0,0.01,1,airplane1.png,bell2.png,false,true,airplane1.png,bell2.png,false,0.01,1.0
3,5,1,0,5,9,true,3,2,5,10,true,1.0,1.0,0.01,1,airplane1.png,bell2.png,false,true,airplane1.png,bell2.png,false,0.01,1.0
3,5,1,0,1,5,true,2,2,6,11,true,0.5,0.5,0.01,1,windchime1.png,desk2.png,false,true,windchime1.png,desk2.png,false,0.01,0.5
3,5,1,0,2,6,true,2,2,7,12,true,1.0,1.0,0.01,1,camera1.png,toyrabbit2.png,true,true,camera1.png,toyrabbit2.png,true,1.0,0.01
3,5,1,0,1,5,true,3,2,8,13,true,1.0,1.0,0.01,1,windchime1.png,desk2.png,false,true,windchime1.png,desk2.png,false,0.01,1.0
3,5,1,0,2,6,true,3,2,9,14,true,1.0,1.0,0.01,1,camera1.png,toyrabbit2.png,true,true,camera1.png,toyrabbit2.png,true,1.0,0.01
3,5,1,0,4,8,true,3,2,10,15,true,0.5,0.5,0.01,1,tongs1.png,cookpot2.png,false,true,tongs1.png,cookpot2.png,false,0.01,0.5
3,5,1,0,2,6,true,4,3,1,16,true,0.5,0.5,0.01,1,camera1.png,toyrabbit2.png,true,true,camera1.png,toyrabbit2.png,true,0.5,0.01
3,5,1,0,1,5,true,4,3,2,17,true,1.0,1.0,0.01,1,windchime1.png,desk2.png,false,true,windchime1.png,desk2.png,false,0.01,1.0
