block,trial,stimulus_group,delay,feedback_optimal,stimulus_A,stimulus_B,stimulus_C,stimulus_ordering,stimulus_left,stimulus_middle,stimulus_right,feedback_left,feedback_middle,feedback_right,feedback_common,session,valence,appearance,stimulus_group_id,optimal_side,n_stimuli,optimal_right,present_pavlovian,n_groups,early_stop
1,1,1,1,0.5,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,0.5,0.01,0.01,true,1,1,1,1,left,3,,false,8,false
1,2,1,1,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,2,1,left,3,,false,8,false
1,3,1,1,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,3,1,left,3,,false,8,false
1,4,1,1,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,4,1,left,3,,false,8,false
1,5,1,1,0.5,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,0.5,0.01,0.01,true,1,1,5,1,left,3,,false,8,false
1,6,1,1,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,6,1,left,3,,false,8,false
1,7,2,0,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,1,2,middle,3,,false,8,false
1,8,1,2,0.5,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,0.5,0.01,0.01,true,1,1,7,1,left,3,,false,8,false
1,9,2,2,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,2,2,middle,3,,false,8,false
1,10,3,0,1.0,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,1.0,true,1,1,1,3,right,3,,false,8,false
1,11,1,3,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,8,1,left,3,,false,8,false
1,12,2,3,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,3,2,middle,3,,false,8,false
1,13,4,0,1.0,cantaloupe_1.jpg,mug_1.jpg,jeep_1.jpg,CAB,jeep_1.jpg,cantaloupe_1.jpg,mug_1.jpg,0.01,1.0,0.01,true,1,1,1,4,middle,3,,false,8,false
1,14,3,4,1.0,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,1.0,true,1,1,2,3,right,3,,false,8,false
1,15,2,3,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,4,2,middle,3,,false,8,false
1,16,5,0,1.0,dresser_1.jpg,abacus_1.jpg,mulberry_1.jpg,BCA,abacus_1.jpg,mulberry_1.jpg,dresser_1.jpg,0.01,0.01,1.0,true,1,1,1,5,right,3,,false,8,false
1,17,2,2,0.5,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,0.5,0.01,true,1,1,5,2,middle,3,,false,8,false
1,18,3,4,1.0,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,1.0,true,1,1,3,3,right,3,,false,8,false
1,19,1,8,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,9,1,left,3,,false,8,false
1,20,2,3,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,6,2,middle,3,,false,8,false
1,21,4,8,0.5,cantaloupe_1.jpg,mug_1.jpg,jeep_1.jpg,CAB,jeep_1.jpg,cantaloupe_1.jpg,mug_1.jpg,0.01,0.5,0.01,true,1,1,2,4,middle,3,,false,8,false
1,22,5,6,1.0,dresser_1.jpg,abacus_1.jpg,mulberry_1.jpg,BCA,abacus_1.jpg,mulberry_1.jpg,dresser_1.jpg,0.01,0.01,1.0,true,1,1,2,5,right,3,,false,8,false
1,23,3,5,1.0,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,1.0,true,1,1,4,3,right,3,,false,8,false
1,24,1,5,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,10,1,left,3,,false,8,false
1,25,5,3,1.0,dresser_1.jpg,abacus_1.jpg,mulberry_1.jpg,BCA,abacus_1.jpg,mulberry_1.jpg,dresser_1.jpg,0.01,0.01,1.0,true,1,1,3,5,right,3,,false,8,false
1,26,2,6,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,7,2,middle,3,,false,8,false
1,27,4,6,1.0,cantaloupe_1.jpg,mug_1.jpg,jeep_1.jpg,CAB,jeep_1.jpg,cantaloupe_1.jpg,mug_1.jpg,0.01,1.0,0.01,true,1,1,3,4,middle,3,,false,8,false
1,28,3,5,1.0,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,1.0,true,1,1,5,3,right,3,,false,8,false
1,29,1,5,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,11,1,left,3,,false,8,false
1,30,2,4,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,8,2,middle,3,,false,8,false
1,31,2,1,1.0,pipe1_1.jpg,trampoline_1.jpg,chariot_1.jpg,CAB,chariot_1.jpg,pipe1_1.jpg,trampoline_1.jpg,0.01,1.0,0.01,true,1,1,9,2,middle,3,,false,8,false
1,32,5,7,1.0,dresser_1.jpg,abacus_1.jpg,mulberry_1.jpg,BCA,abacus_1.jpg,mulberry_1.jpg,dresser_1.jpg,0.01,0.01,1.0,true,1,1,4,5,right,3,,false,8,false
1,33,5,1,1.0,dresser_1.jpg,abacus_1.jpg,mulberry_1.jpg,BCA,abacus_1.jpg,mulberry_1.jpg,dresser_1.jpg,0.01,0.01,1.0,true,1,1,5,5,right,3,,false,8,false
1,34,3,6,0.5,shopping_cart_1.jpg,ski_1.jpg,racket_1.jpg,CBA,racket_1.jpg,ski_1.jpg,shopping_cart_1.jpg,0.01,0.01,0.5,true,1,1,6,3,right,3,,false,8,false
1,35,4,8,1.0,cantaloupe_1.jpg,mug_1.jpg,jeep_1.jpg,CAB,jeep_1.jpg,cantaloupe_1.jpg,mug_1.jpg,0.01,1.0,0.01,true,1,1,4,4,middle,3,,false,8,false
1,36,1,7,1.0,beaker_1.jpg,fork_1.jpg,rocking_chair_1.jpg,ACB,beaker_1.jpg,rocking_chair_1.jpg,fork_1.jpg,1.0,0.01,0.01,true,1,1,12,1,left,3,,false,8,false
