block,trial,stimulus_group,delay,feedback_optimal,stimulus_left,stimulus_middle,stimulus_right,optimal_action,feedback_left,feedback_middle,feedback_right,feedback_common,session,valence,appearance,stimulus_group_id,optimal_side,n_stimuli,optimal_right,present_pavlovian,n_groups,early_stop
1,1,1,1,0.5,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,0.5,0.01,0.01,true,1,1,1,1,left,1,,false,8,false
1,2,1,1,1.0,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,1.0,0.01,0.01,true,1,1,2,1,left,1,,false,8,false
1,3,1,1,1.0,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,1.0,0.01,0.01,true,1,1,3,1,left,1,,false,8,false
1,4,1,1,1.0,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,1.0,0.01,0.01,true,1,1,4,1,left,1,,false,8,false
1,5,1,1,0.5,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,0.5,0.01,0.01,true,1,1,5,1,left,1,,false,8,false
1,6,1,1,1.0,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,1.0,0.01,0.01,true,1,1,6,1,left,1,,false,8,false
1,7,2,0,1.0,baton3_1.jpg,baton3_1.jpg,baton3_1.jpg,3,0.01,0.01,1.0,true,1,1,1,2,right,1,,false,8,false
1,8,1,2,0.5,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,0.5,0.01,0.01,true,1,1,7,1,left,1,,false,8,false
1,9,2,2,1.0,baton3_1.jpg,baton3_1.jpg,baton3_1.jpg,3,0.01,0.01,1.0,true,1,1,2,2,right,1,,false,8,false
1,10,3,0,1.0,tablet_1.jpg,tablet_1.jpg,tablet_1.jpg,3,0.01,0.01,1.0,true,1,1,1,3,right,1,,false,8,false
1,11,1,3,1.0,guitar_1.jpg,guitar_1.jpg,guitar_1.jpg,1,1.0,0.01,0.01,true,1,1,8,1,left,1,,false,8,false
1,12,2,3,1.0,baton3_1.jpg,baton3_1.jpg,baton3_1.jpg,3,0.01,0.01,1.0,true,1,1,3,2,right,1,,false,8,false
1,13,4,0,1.0,binder_1.jpg,binder_1.jpg,binder_1.jpg,2,0.01,1.0,0.01,true,1,1,1,4,middle,1,,false,8,false
1,14,3,4,1.0,tablet_1.jpg,tablet_1.jpg,tablet_1.jpg,3,0.01,0.01,1.0,true,1,1,2,3,right,1,,false,8,false
1,15,2,3,1.0,baton3_1.jpg,baton3_1.jpg,baton3_1.jpg,3,0.01,0.01,1.0,true,1,1,4,2,right,1,,false,8,false
1,16,5,0,1.0,quill_1.jpg,quill_1.jpg,quill_1.jpg,2,0.01,1.0,0.01,true,1,1,1,5,middle,1,,false,8,false
1,17,2,2,0.5,baton3_1.jpg,baton3_1.jpg,baton3_1.jpg,3,0.01,0.01,0.5,true,1,1,5,2,right,1,,false,8,false
