session,block,valence,trial,feedback_common,present_pavlovian,n_stimuli,early_stop,n_groups,stimulus_group,stimulus_group_id,stimulus_middle,feedback_middle,optimal_side,feedback_optimal,optimal_right,feedback_right,feedback_left,stimulus_right,stimulus_left,n_confusing,optimal_A,primary_outcome_A,primary_outcome_B,secondary_outcome_A,secondary_outcome_B,feedback_A,feedback_B,stimulus_A,stimulus_B,A_on_right
screening,1,1,1,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,2,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,3,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,4,false,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,5,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,6,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,7,true,false,2,true,1,1,1,,,,0.5,false,0.01,0.5,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,8,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,9,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,10,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,11,true,false,2,true,1,1,1,,,,0.5,false,0.01,0.5,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,12,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,13,false,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,14,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,15,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,16,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,17,true,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,18,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,19,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,20,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,21,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,22,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,23,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,24,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,25,false,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,26,true,false,2,true,1,1,1,,,,0.5,false,0.01,0.5,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,27,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,28,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,29,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,30,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,31,false,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,32,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,33,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,34,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,35,true,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,36,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,37,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,38,true,false,2,true,1,1,1,,,,1.0,true,1.0,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
screening,1,1,39,true,false,2,true,1,1,1,,,,1.0,false,0.01,1.0,braid_1.jpg,hinge_1.jpg,,,,,,,,,,,
screening,1,1,40,true,false,2,true,1,1,1,,,,0.5,true,0.5,0.01,hinge_1.jpg,braid_1.jpg,,,,,,,,,,,
